Acteur,noteMoy
Washington Denzel,3.21625
Olsen Elizabeth,3.2127777777777777
Rodrigues Ivan,3.2119999999999997
Pugh Florence,3.2108333333333334
Do-hwan Woo,3.2083333333333335
D'Hauwe Alice,3.2083333333333335
Taylor-Joy Anya,3.2075
Diesel Vin,3.2075
Herbers Katja,3.207142857142857
Lilly Evangeline,3.205714285714286
Stubbs Una,3.205294117647059
Abdul-Mateen II Yahya,3.2039999999999997
Weseluck Cathy,3.2016666666666667
Ridley Daisy,3.201333333333333
Hawkins Sally,3.198
Paul Aaron,3.196111111111111
Jason Leigh Jennifer,3.195333333333333
Peele Jordan,3.195
Sennott Rachel,3.1944444444444446
Picking Jake,3.1933333333333334
Sand Nina,3.192857142857143
Pereira Cristina,3.1916666666666664
Dong-gun Jang,3.1914285714285713
Majors Jonathan,3.19
Van Patten Grace,3.184285714285714
Kazan Zoe,3.1822222222222223
 Karthi,3.179333333333333
Britton Connie,3.1783333333333332
Lu Richardson Haley,3.177
Long Joseph,3.1750000000000003
Portman Natalie,3.1750000000000003
Hoch Danny,3.172857142857143
Rydén Sovi,3.171666666666667
Allan Stuart,3.171666666666667
Turton Birkett,3.1714285714285713
Winningham Mare,3.1714285714285713
 Jyothika,3.165714285714286
Hashizume Tomohisa,3.1650000000000005
Carroll Lynch John,3.164
Prakasa Ernest,3.162
Banerjee Abhishek,3.16125
Wever Merritt,3.159
Jonas Joe,3.158333333333333
MacLane Angus,3.158333333333333
Dever Kaitlyn,3.1566666666666667
van Kooten Kim,3.1566666666666667
 Zendaya,3.1550000000000002
Taylor-Johnson Aaron,3.1550000000000002
Wickman Billy,3.155
Hamilton LisaGay,3.1544444444444446
C. Reilly John,3.1532142857142857
Graham Zoe,3.151666666666667
Pratt Chris,3.151111111111111
Franco Suely,3.15
Saffioti Salli,3.1494736842105264
Tolman Allison,3.145
Yılmaz Cem,3.144615384615385
Ikeda Shuichi,3.14421052631579
Prasath Lallu,3.142857142857143
Woods James,3.1425
Hunnam Charlie,3.141666666666667
Connor Kit,3.14125
Saphira Tatjana,3.14
Gough Michael,3.1366666666666667
Lourd Billie,3.1366666666666667
Cemcir Murat,3.1366666666666667
Linney Laura,3.1346153846153846
Bomer Matt,3.1333333333333333
Turner-Smith Jodie,3.1316666666666664
Cardellini Linda,3.1316666666666664
Donovan Jeffrey,3.129
MacAninch Cal,3.1283333333333334
 Bhanupriya,3.1283333333333334
Riyaz Khan Uma,3.126666666666667
Gallagher Jr. John,3.1244444444444444
Aakeel Antonio,3.1228571428571428
Kase Yasuyuki,3.1228571428571428
Faulkner James,3.1225
Cusack Joan,3.121875
Lebowitz Fran,3.121818181818182
Anozie Nonso,3.121818181818182
McShera Sophie,3.12
Tatum Channing,3.12
Kishino Andrew,3.1199999999999997
Aris Jonathan,3.117142857142857
Bronzit Konstantin,3.1166666666666667
 Dhanush,3.1159090909090907
Eckstein Ashley,3.1157142857142857
Anggara Dimas,3.115
Ah-in Yoo,3.1149999999999998
McShane Ian,3.114736842105263
Connelly Jennifer,3.11375
Yalçın Nihal,3.1133333333333333
Hye-ran Yeom,3.113181818181818
Getz John,3.1125
Wadham Julian,3.1115384615384616
Wong Benedict,3.111111111111111
Pfeiffer Michelle,3.1100000000000003
Goode Matthew,3.1100000000000003
Mitchell Jason,3.107142857142857
Ji-min Han,3.1061538461538465
Fares Fares,3.1061538461538465
Sharma Anushka,3.1047058823529414
Yun-fat Chow,3.103
Min-sik Choi,3.1018181818181816
Kyu-baek Kim,3.10125
Dika Raditya,3.1
Güven Ozan,3.1
Wiggins Josh,3.0985714285714288
Pelling Joseph,3.098333333333333
DiCaprio Leonardo,3.097692307692308
Hardy Tom,3.097391304347826
Dylan Grazer Jack,3.095
Hammer Armie,3.0944444444444446
Subramanian Ramya,3.0942857142857143
Sidibe Gabourey,3.0933333333333333
Hayward Kara,3.093
Malek Rami,3.0928571428571425
Saylor Morgan,3.0928571428571425
Clarke Emilia,3.092
Arquette Patricia,3.092
Baetens Veerle,3.0915384615384616
Schneider Paul,3.0914285714285716
Krasinski John,3.0907142857142853
Sheridan Kelly,3.09
Pallavi Sai,3.0855555555555556
Hahn Kathryn,3.0855555555555556
Culkin Rory,3.0850000000000004
Quinn Abby,3.0833333333333335
Woolgar Fenella,3.0828571428571427
Dungate Chloe,3.081666666666667
Whigham Shea,3.081111111111111
Carmichael Laura,3.08
Alan Lori,3.078333333333333
Moore Demi,3.0775
Khan Irrfan,3.074347826086956
Graboshas Karl,3.07375
Rama Rao Jr. N.T.,3.068888888888889
McDormand Frances,3.0684615384615386
Pablo Cantillo Jose,3.067142857142857
Artman Fatih,3.067142857142857
Albanese Antonio,3.067
Gibson Milo,3.065714285714286
Duplass Jay,3.0645454545454545
Capron Robert,3.0644444444444443
Dosanjh Kriss,3.064285714285714
Barretto Julia,3.063333333333333
Bratt Benjamin,3.0620000000000003
Doig Lexa,3.061666666666667
Robichaux Richard,3.06
Browder Vic,3.06
Manley Rebecca,3.0583333333333336
Gavron Rafi,3.0575
Ji-hoon Jung,3.0574999999999997
Bhabha Satya,3.0566666666666666
Gray Bruce,3.0566666666666666
Whitlock Jr. Isiah,3.0564705882352943
Blankenship Jacinte,3.0557142857142856
Kearin Stephen,3.0555555555555554
Theroux Justin,3.0549999999999997
Riseborough Andrea,3.0528000000000004
Dern Laura,3.0506060606060608
MacLachlan Kyle,3.049285714285714
Cowgill David,3.0485714285714285
Yelland Tara,3.0483333333333333
Aksel Ayda,3.0483333333333333
Wright Robin,3.048
Nigam Shane,3.0463636363636364
Birsel Taner,3.0463636363636364
Spellman Laurence,3.044285714285714
Duplass Mark,3.044285714285714
Bilek Renan,3.0433333333333334
Jammwal Vidyut,3.043
Kumar Ajith,3.04125
Sánchez Susi,3.04
Bell Jamie,3.039090909090909
Ziudith Michelle,3.038888888888889
Tej Varun,3.03875
Ubben Charlotte,3.0366666666666666
Tomei Marisa,3.0366666666666666
Jenkins Richard,3.0364999999999998
Zissis Steve,3.0357142857142856
Eklund Jakob,3.032857142857143
Howard Rosemary,3.0325
Basso Gabriel,3.0324999999999998
Waititi Taika,3.0318181818181817
Paraventi Charles,3.0316666666666667
Toolan Rebecca,3.031428571428571
House Rachel,3.031428571428571
Casselberry Ian,3.03
 Silambarasan,3.029375
E. Brownlee John,3.0285714285714285
De Luigi Fabio,3.027272727272727
Cochrane Rory,3.0266666666666664
 Suriya,3.0246666666666666
Hyeong-su Park,3.024
Jin-ho Choi,3.024
Brown Findlay Jessica,3.02375
Faasil Fahadh,3.0236
Arjun Allu,3.023
Uwais Iko,3.0228571428571427
Cygan John,3.02
Hanks Colin,3.02
Lowden Jack,3.018333333333333
Stuhlbarg Michael,3.0176470588235293
Pullman Lewis,3.0175
Kunken Stephen,3.0142857142857147
İşler Nejat,3.01375
Mann Leslie,3.0133333333333336
Lopez Lauren,3.0124999999999997
Fischer Jenna,3.0116666666666667
Browning Emily,3.01
Logan Phyllis,3.01
Knights Christopher,3.01
Kinnear Greg,3.0094117647058827
Zellweger Renée,3.0085714285714285
Johnson Magic,3.0085714285714285
Rao Rajkummar,3.0077777777777777
Sloane Nicola,3.0050000000000003
Padilla Daniel,3.0042857142857144
Reaser Elizabeth,3.004
Marlohe Bérénice,3.0033333333333334
Dickens Kim,3.0014285714285713
Reiser Paul,3.000833333333333
Berger Howard,3.0
Muren Dennis,2.99875
Antony Jennifer,2.9966666666666666
Charan Ram,2.995
Taylor Noah,2.995
Siff Maggie,2.9949999999999997
Chang Sylvia,2.9944444444444445
Pothineni Ram,2.9936363636363637
Farmiga Vera,2.993333333333333
 IU,2.9916666666666667
Fink Ashley,2.9916666666666667
Rabson Jan,2.99
Hill Jonah,2.9895833333333335
Weisz Rachel,2.989375
Taccone Jorma,2.989
Hye-sun Shin,2.988888888888889
Johnson Don,2.988888888888889
Blinkoff Asher,2.988571428571429
Simmons Johnny,2.9884615384615385
Dygant Agnieszka,2.987142857142857
Ki-yong Jang,2.9866666666666664
McDermott Dylan,2.98625
Thirlby Olivia,2.984166666666667
 Shyamaprasad,2.983333333333333
Kinnaman Joel,2.981111111111111
del Toro Benicio,2.9810526315789474
Jung-ok Lee,2.9766666666666666
Ribisi Giovanni,2.976153846153846
Gray Gubler Matthew,2.976
Godley Adam,2.9744444444444444
Blanc Michel,2.974285714285714
Feldstein Beanie,2.973333333333333
Paquin Anna,2.972142857142857
Pepper Barry,2.972142857142857
Green Eva,2.9716666666666662
Nagel Maryanne,2.9716666666666662
Mame Narcisse,2.9714285714285715
Rueda Paco,2.9711111111111115
Matter Niall,2.9680000000000004
Wingert Mick,2.967777777777778
Ronan Saoirse,2.9669230769230768
Kunis Mila,2.9669230769230768
Shepard Sam,2.966666666666667
Blunt Emily,2.9657894736842105
Lops Maurizio,2.9657142857142853
McArdle James,2.9655555555555555
Gordon-Levitt Joseph,2.9650000000000003
Kaia Livers Karen,2.965
Lewis Judah,2.9633333333333334
Le Bon Charlotte,2.9633333333333334
Rhys Meyers Jonathan,2.9625
Ruth Prabhu Samantha,2.960909090909091
Clarke Jason,2.960526315789474
Collins Lily,2.9591666666666665
Rogen Seth,2.9586206896551723
Lefevre Rachelle,2.9585714285714286
Daniels Anthony,2.9584615384615387
Magaro John,2.9583333333333335
Kelamis Peter,2.958181818181818
Sreenivasan Vineeth,2.9576470588235293
Spall Rafe,2.9563157894736842
Kapoor Ahuja Sonam,2.956153846153846
Lione Urbano,2.955
Kakazu Yumi,2.9545454545454546
Potter Callan,2.953333333333333
Raina K.K.,2.953333333333333
Strong Jeremy,2.9528571428571433
Keoghan Barry,2.9526315789473685
Kayacan Müfit,2.9516666666666667
Irvine Jeremy,2.950909090909091
McCarthy Melissa,2.9506666666666663
Fitzgerald Erin,2.9505263157894737
Jeselnik Anthony,2.95
Maadi Payman,2.9492307692307693
Henderson Shirley,2.948888888888889
Ferris Pam,2.9483333333333337
Lee Samara,2.948333333333333
Haasan Shruti,2.947777777777778
Macdonald Kelly,2.946875
Tabet Antonio,2.945555555555556
J Rogers Michael,2.945
Chatham Wes,2.94375
Ejogo Carmen,2.943636363636364
Khanna Harish,2.9427272727272724
Lamm Débora,2.9414285714285713
Persbrandt Mikael,2.941111111111111
Ulrik Lohmann Jacob,2.9384615384615387
Butler Gerard,2.9383333333333335
Wayans Jr. Damon,2.937142857142857
Akbağ Demet,2.93625
Bishara Joseph,2.935714285714286
Bumpass Rodger,2.9355555555555557
Bracey Luke,2.935
Singh Rajput Sushant,2.933333333333333
Corfield Hermione,2.9327272727272726
D'Elia Chris,2.9325
James Lily,2.931739130434783
Lawson Maggie,2.9314285714285715
St. Clair Jessica,2.9314285714285715
Beatriz Stephanie,2.93125
In-woo Kim,2.93125
Hiddleston Tom,2.931111111111111
Ehle Jennifer,2.930434782608696
Rady Michael,2.9299999999999997
Wiley Samira,2.9283333333333332
Nelson Maclain,2.9283333333333332
Patel Dev,2.928
Sedgwick Kyra,2.927777777777778
Chembolu Raja,2.9275
Nakamura Chie,2.927
Armstrong Joe,2.92625
Wilson Patrick,2.92625
Kruper Karen,2.9244444444444446
Pope Jeff,2.924285714285714
Green Charles,2.9222222222222225
Selby David,2.921111111111111
Pine Chris,2.9204761904761902
Ryder Winona,2.92
van Wageningen Yorick,2.9175
Winton Colleen,2.9171428571428573
Hirsch Emile,2.917
Sweet Tom,2.9166666666666665
Coster-Waldau Nikolaj,2.9166666666666665
Stroma Freddie,2.9166666666666665
McCann Rory,2.9166666666666665
Romano Andrea,2.9164285714285714
Cilella Peter,2.9150000000000005
Little Steve,2.915
O'Dowd Chris,2.914761904761905
Passô Grace,2.91375
McRaney Gerald,2.912857142857143
Burrell Ty,2.91125
Akhtar Farhan,2.911
Wirasti Adinia,2.910833333333333
Krul Rienus,2.91
Bailey Chloe,2.91
Freeland Miriam,2.91
Michael Richardson Kevin,2.9094444444444445
Malhotra Sidharth,2.90875
Enos Mireille,2.9066666666666667
Joon Go,2.90625
Valentine Steve,2.905
Mantzoukas Jason,2.9046666666666665
McGowan Mickie,2.903333333333333
Blum Steve,2.9030434782608694
Kalyan Pawan,2.9025
Jong-suk Lee,2.902
Adegboyega Daniel,2.9014285714285712
Zimmer Constance,2.9014285714285712
Yao Kazuki,2.9010526315789473
Stewart Kristen,2.9008
Fitzgerald Wilbur,2.9
Podalydès Bruno,2.8966666666666665
Jae-yi Han,2.895
Jones Cherry,2.895
Appaji Ambarisha Darbha,2.8946666666666667
Deyn Agyness,2.892857142857143
Demirer Ata,2.892857142857143
Jun-yeol Ryu,2.8920000000000003
Dornan Jamie,2.8918181818181816
Pattinson Robert,2.8916666666666666
Plemons Jesse,2.8916666666666666
McCabe Richard,2.891
Segel Jason,2.89
Mychal Smith Brandon,2.89
Isaac Oscar,2.8890625
Pacino Al,2.8870588235294115
Gisondo Skyler,2.887
Yamaoka Yuri,2.886923076923077
Scott Adam,2.8865384615384615
Dunham Lena,2.8844444444444446
Buldu Onur,2.884285714285714
Boseman Chadwick,2.8836363636363633
Antony Lizzie,2.882857142857143
 Kajol,2.882857142857143
Edgecombe Scott,2.8816666666666664
Field Sally,2.88
Bane Jonas,2.88
Sook Moon,2.87875
Patton Paula,2.87875
Arikan Elmira,2.8785714285714286
Murase Michiyo,2.8783333333333334
Blackwell Rus,2.8775
Colwell Anna,2.8775
Cavill Henry,2.8760000000000003
Chaitanya Akkineni Naga,2.875625
Advani Kiara,2.8742857142857146
Joel Osment Haley,2.8742857142857146
Canlas Elijah,2.8737500000000002
Stowell Austin,2.8721428571428573
Jack Cameron,2.8716666666666666
Rudd Paul,2.8713333333333333
Bonar Ian,2.87
del Estal Tomás,2.87
García Bernal Gael,2.8695833333333334
Beha Andrew,2.86875
Côrtes João,2.8683333333333336
Kyung-nam Kim,2.8683333333333336
Hendricks Christina,2.8677272727272727
Jae-seong Jeong,2.8666666666666667
Niederpruem Clare,2.86375
Turner Aidan,2.8625
Madeira Kiana,2.862
Ray Tanner Drew,2.8614285714285717
Mizuta Wasabi,2.8607692307692307
Condor Lana,2.86
Kisaichi Atsushi,2.86
Chassagne Régine,2.86
Rodríguez Génesis,2.859
Moon-hee Na,2.858571428571429
Pitts Tony,2.858571428571428
Xun Zhou,2.858461538461538
Chung Jamie,2.857647058823529
Ortiz John,2.8575
Sung-keun Moon,2.856923076923077
Gupta Rajiv,2.856
Swift Taylor,2.8557142857142854
Willingham Travis,2.855
Pachner Valerie,2.8542857142857145
Chaddha Sheeba,2.854
Tripathi Sharma Shweta,2.85375
D. Kleut Goran,2.8533333333333335
Hollander Tom,2.8531578947368423
Cooke Olivia,2.853
Jeremiah Andrea,2.8515
Bautista Dave,2.850909090909091
Hugot Marceline,2.85
Coy Chris,2.8499999999999996
Atkin Downes Robin,2.8489473684210527
Day Charlie,2.848888888888889
McMahon Julian,2.848333333333333
 Shatru,2.848181818181818
Gorman Burn,2.847857142857143
Groesman Denise,2.8477777777777775
Capri Herson,2.8475
Arianda Nina,2.8466666666666667
Simons Ron,2.8466666666666662
Russell Keri,2.8466666666666662
Harris Naomie,2.846363636363636
Brandin Christian,2.84625
Mendelsohn Ben,2.8461904761904764
Georis Bruno,2.8459999999999996
Krishna Vishal,2.8445
Chandler Kyle,2.8442857142857143
Seyfried Amanda,2.8434999999999997
Bo-gum Park,2.8428571428571425
Beckel Graham,2.8428571428571425
Farmiga Taissa,2.842142857142857
Musk Elon,2.841818181818182
González Eiza,2.8414285714285716
Latimore Jacob,2.840909090909091
Shinohara Emi,2.84
Iwai Yukiko,2.838
Bloom Orlando,2.8376470588235296
Shim Andrew,2.837142857142857
Labeeu Jimmy,2.835714285714286
Hayama Ikumi,2.8350000000000004
Dyrholm Trine,2.835
Fry Lucy,2.834285714285714
Bakshi Miles,2.8333333333333335
Carano Gina,2.8328571428571427
'Swampy' Marsh Jeff,2.831666666666667
Claude Leuyer Jean,2.8316666666666666
Khoje Kiran,2.8314285714285714
Brooke Sian,2.8314285714285714
Yanin JeeJa,2.8314285714285714
Le Cung,2.83125
Dockery Michelle,2.8310526315789475
Ford Martyn,2.831
Hegde Pooja,2.83
Salmaan Dulquer,2.83
B. Vance Courtney,2.8289999999999997
Cookson Sophie,2.828333333333333
Lancaster Sarah,2.828333333333333
Konno Hiromi,2.828333333333333
Grover Jeffrey,2.828181818181818
Min-hee Kim,2.826363636363636
Lennie Bárbara,2.825714285714286
Culkin Kieran,2.825714285714286
Abrams Austin,2.825454545454545
Garcia Jorge,2.8249999999999997
Watts Naomi,2.8249999999999997
Narahashi Miki,2.8244444444444445
Pekin Büşra,2.8242857142857143
Bishop Martin,2.8233333333333337
Lawrence Raghava,2.8233333333333337
Lendeborg Jr. Jorge,2.8225000000000002
Rudolph Maya,2.822
 Vijay,2.8216666666666668
Smith Lois,2.82125
Root Stephen,2.820625
Peterson Bob,2.82
Sarsgaard Peter,2.82
Mackie Anthony,2.819666666666667
Cameron Cody,2.8185714285714285
Kyoo-hyung Lee,2.8183333333333334
Tautou Audrey,2.8183333333333334
Hunt Bonnie,2.818
Driver Adam,2.8174193548387096
Ji-sung Uhm,2.81625
Labed Ariane,2.81625
Hang-ho Tae,2.816
Serra Paulinho,2.816
Brie Alison,2.815
Janssen Famke,2.8146666666666667
John Smith Taylor,2.8144444444444443
Roberts Julia,2.8141666666666665
MacArthur Hayes,2.813333333333333
Cohn Mindy,2.8126666666666664
Potts Jonathan,2.811666666666667
Broadbent Jim,2.8104347826086955
Oyelowo David,2.8104
Hoshi Moeka,2.81
Eichner Billy,2.81
Utgoff Alec,2.81
Poulter Will,2.81
Larbi Farid,2.81
Bettany Paul,2.809375
T. Delaney Brian,2.8092307692307688
Long Justin,2.808888888888889
Ye Michelle,2.80875
McGowan James,2.8083333333333336
Beckwith Andy,2.8083333333333336
Bellato Anna,2.807777777777778
Teller Miles,2.8075
Sastrowardoyo Dian,2.807142857142857
Yelchin Anton,2.8068
Steentoft Elsebeth,2.8066666666666666
Zoe Bakshi Nina,2.8066666666666666
Wain David,2.8064285714285715
Otto Miranda,2.806
Stan Sebastian,2.806
Kaygılaroğlu Uraz,2.8057142857142856
Hirata Hiroaki,2.8056756756756758
Gadot Gal,2.805
Rapace Noomi,2.804736842105263
Cohen Daniel,2.80375
Whishaw Ben,2.8036363636363637
Berzunțeanu Alina,2.802857142857143
Shepherd Sherri,2.802
Leary Timothy,2.8016666666666663
Sebastian Madonna,2.8009999999999997
Hennig Shelley,2.8000000000000003
Knight Elissa,2.8000000000000003
Dalton Timothy,2.8
Eisman Marion,2.79875
DaCosta Yaya,2.7977777777777777
Arjun Sara,2.7971428571428567
Freeman Martin,2.7970270270270268
Hirose Yuya,2.796666666666667
Russell Wyatt,2.79625
Asp Anna,2.7954545454545454
Karlin Åsa,2.7954545454545454
Mann Danny,2.7950000000000004
Sae-rok Geum,2.7946153846153843
Gambon Michael,2.7946153846153843
Soo-jin Kim,2.793846153846154
Ryan Amy,2.793846153846154
Yeong-ae Kim,2.7933333333333334
Egerton Taron,2.7933333333333334
Isobe Tsutomu,2.792666666666667
Rankin Gayle,2.7925
Temple Juno,2.7921428571428573
Landes Michael,2.7920000000000003
Soo-ho Ha,2.7920000000000003
Padukone Deepika,2.7916666666666665
Ashton-Griffiths Roger,2.7914285714285714
Benedict Jay,2.7900000000000005
Benward Luke,2.7899999999999996
Eaton Courtney,2.7885714285714287
Theron Charlize,2.7871428571428574
Sanon Kriti,2.787
Kendrick Karan,2.7866666666666666
Jun-han Kim,2.78625
Seong-chan Son,2.7857142857142856
Riotta Vincent,2.785
Adlon Pamela,2.785
Mikitas Ego,2.783333333333333
Morris Brad,2.782857142857143
Ha-bok Yoo,2.782857142857143
Alterio Ernesto,2.782
Massey Vikrant,2.78125
Higgins Kate,2.7811538461538463
Korogi Satomi,2.7809999999999997
Marshall-Green Logan,2.7777777777777777
Dalton Tony,2.7775
Mays Daniel,2.777368421052632
 Nayanthara,2.7766666666666664
Whitehead Fionn,2.775714285714286
Platt Ben,2.775714285714286
Kachroo Rajiv,2.7755555555555556
Soon-woong Yoo,2.775
Lee Jones Tommy,2.775
Cassidy Michael,2.775
Kul Alper,2.775
Sen Reema,2.775
Affleck Casey,2.7746666666666666
Khanna Raashii,2.7744444444444443
McAvoy James,2.7741176470588234
Martindale Margo,2.7741176470588234
Babu Mahesh,2.773636363636364
Foster Ben,2.7735
Casas Mario,2.7733333333333334
Hunter Jumayn,2.772727272727273
Kapoor Anil,2.7707142857142855
Lopes Suzy,2.77
 Gringe,2.77
Dong-won Gang,2.77
O'Mara Jason,2.768333333333333
Sung-ryung Kim,2.767777777777778
Mogami Tsuguo,2.7675
Czerny Henry,2.7675
Grillo Frank,2.767391304347826
Marsden James,2.767333333333333
Tripathi Anupam,2.7671428571428573
Courtney Jai,2.7670000000000003
Stone Emma,2.7664999999999997
Melo Marcello,2.765
Skrein Ed,2.7641176470588236
Chernus Michael,2.7641176470588236
Chopra Parineeti,2.76375
Poésy Clémence,2.7633333333333336
Landry Jones Caleb,2.763157894736842
Wittrock Finn,2.762857142857143
Bart Roger,2.7625
Nichols Mike,2.7614285714285716
Gourrier Dana,2.7607692307692306
Oldfield Finnegan,2.76
Jones Gillian,2.76
Chastain Jessica,2.759375
Jones Felicity,2.759
Skarsgård Bill,2.758947368421053
Ji-hu Park,2.7583333333333333
O'Brien Glenn,2.7583333333333333
Cumberbatch Benedict,2.7560377358490564
Balan Vidya,2.756
Eui-sung Kim,2.7559375
Strunk Ken,2.7558333333333334
Hyang-gi Kim,2.755714285714286
Diot Pierre,2.7544444444444443
Schiller Adrian,2.7541666666666664
Rush Geoffrey,2.75375
July Miranda,2.7533333333333334
Davis Mackenzie,2.753333333333333
Bayer Vanessa,2.751666666666667
Lange Jessica,2.75
Gomez Selena,2.7494736842105265
Pally Adam,2.7494117647058824
Palmer Rothwell Charley,2.7485714285714287
Brammer Alistair,2.748333333333333
Dinklage Peter,2.747916666666667
Stephanie Blake Marsha,2.7475
Benko Tina,2.7475
Adkins Scott,2.7474999999999996
McAdams Rachel,2.747333333333333
Pednekar Bhumi,2.747
Goggins Walton,2.745294117647059
Rao Gajraj,2.745
Eyez Jon,2.745
Deol Abhay,2.745
Evans Chris,2.745
Schumacher Joel,2.7449999999999997
McDonough Neal,2.7446153846153845
Iov Cyprien,2.744
Balsai Mónika,2.74375
Lucretia Taylor Myra,2.743333333333333
Nichol Jefri,2.742857142857143
Lawrence Mr.,2.742857142857143
Etura Marta,2.7424999999999997
Shōzō IX Hayashiya,2.7416666666666667
de Armas Ana,2.7416666666666667
Skarsgård Alexander,2.7415
Ratajkowski Emily,2.7414285714285715
Boudreau Jean-François,2.7414285714285715
Bernardo Kathryn,2.74
Trebek Alex,2.7399999999999998
Sjøgård Pettersen Mads,2.7399999999999998
